title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
71,2014-10-10,99.0,0,1625847,7.08055,6.7,414.0,1625847
Bastards,2014-03-15,83.0,0,0,0.121762,5.0,1.0,0
The Water Diviner,2014-12-25,112.0,22500000,15520023,9.615664,6.8,439.0,-29479977
Enlighten Up!,2008-01-01,82.0,0,0,0.00353,0.0,0.0,0
Just a Sigh,2013-04-10,104.0,0,0,0.7654,6.6,10.0,0
The Rabbis Cat,2011-05-31,100.0,0,0,2.941289,6.7,51.0,0
Altman,2014-08-01,95.0,0,0,3.031063,6.4,10.0,0
Still Alice,2014-12-05,99.0,5000000,43884652,8.823253,7.5,1126.0,33884652
Je préfère quon reste amis,2005-02-23,100.0,0,0,0.900575,5.8,8.0,0
Grumpy Cats Worst Christmas Ever,2014-11-29,90.0,0,0,9.565376,5.3,27.0,0
Paddington,2014-11-27,95.0,55000000,259207227,15.686837,7.0,899.0,149207227
Redemption: For Robbing the Dead,2011-10-16,105.0,0,0,0.085592,0.0,0.0,0
Jessabelle,2014-08-29,90.0,0,0,6.757875,5.1,265.0,0
Maze Runner: The Scorch Trials,2015-09-09,132.0,61000000,311256926,41.225769,6.5,3148.0,189256926
Kink,2013-01-19,80.0,0,0,2.042703,5.5,17.0,0
Beautiful Girl,2014-11-25,90.0,3000000,0,0.708378,3.2,3.0,-6000000
Showrunners: The Art of Running a TV Show,2014-10-17,76.0,0,0,2.792369,6.2,29.0,0
Dirigible,1931-04-04,100.0,0,0,0.078026,0.0,1.0,0
Sir Arnes Treasure,1919-09-18,106.0,0,0,0.413281,6.7,3.0,0
My Brother Tom,2001-11-16,111.0,0,0,1.04103,7.3,9.0,0
The Kiss,1900-03-09,1.0,0,0,0.244609,4.5,7.0,0
Quest,1996-01-01,12.0,0,0,0.213612,6.7,3.0,0
Scooby-Doo! Frankencreepy,2014-08-19,74.0,0,0,4.934518,6.7,13.0,0
The Ghost and the Whale,2016-05-17,105.0,0,0,0.055054,0.0,0.0,0
Pendulum,1969-02-17,102.0,0,0,0.088856,0.0,0.0,0
Burts Buzz,2014-06-06,88.0,0,0,0.850629,6.6,10.0,0
Ice Age: A Mammoth Christmas,2011-11-24,26.0,0,0,7.009931,6.0,171.0,0
The Bloody Olive,1997-04-01,11.0,0,0,0.315143,7.3,6.0,0
Hey Bartender,2013-06-07,92.0,0,0,0.527949,5.3,4.0,0
Kajaki,2014-11-12,108.0,0,0,5.557227,6.3,93.0,0
A Matter of Size,2009-04-27,90.0,0,0,0.746956,6.4,5.0,0
